dataset,study,architecture,trial_number,trial_state,validation_roc_auc,best_epoch,seed,configuration_source,parameters_json,resolved_config_json,validation_loss,validation_accuracy_0_5,validation_precision_0_5,validation_recall_0_5,validation_f1_0_5,validation_mcc_0_5,best_f1_threshold,trainable_parameter_count,training_seconds,gpu_peak_memory_bytes,pruned,failed,failure_reason,test_set_used,trial_directory
nocom,nocom_conv1d,conv1d,0,COMPLETE,0.9774303098248558,5.0,7,existing_config_adapted_to_search_interface,"{""batch_size"": 64, ""conv_activation"": ""relu"", ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dropout"": 0.0, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_head"": ""cosine_linear"", ""learning_rate"": 0.001, ""pooling"": ""mean"", ""remove_padding"": false, ""slice_width"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""conv1d"", ""background"": ""black"", ""batch_size"": 64, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""nocom"", ""dropout"": 0.0, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""cosine_linear"", ""final_hidden_dim"": 128, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.001, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""mean"", ""processor"": ""conv1d"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""mean"", ""slice_width"": 6, ""stride"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}",0.2167813377024924,0.9229077462047488,0.9476423665650312,0.9315470784135634,0.9395257942869356,0.8334756111849194,0.434234619140625,123138.0,878.4776187227108,92910592.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v2_fast10x5/conv1d/trials/trial_00000
nocom,nocom_conv1d,conv1d,1,FAIL,,1.0,7,optuna_sampled,"{""batch_size"": 32, ""conv_activation"": ""gelu"", ""conv_kernel_size"": 3, ""conv_layers"": 3, ""dropout"": 0.0, ""early_stopping_patience"": 2, ""embedding_dim"": 64, ""final_head"": ""direct_cosine"", ""learning_rate"": 0.0007650654659218705, ""pooling"": ""mean"", ""remove_padding"": true, ""slice_width"": 16, ""stride_mode"": ""half_overlap"", ""weight_decay"": 0.0}","{""activation"": ""gelu"", ""architecture"": ""conv1d"", ""background"": ""black"", ""batch_size"": 32, ""conv_kernel_size"": 3, ""conv_layers"": 3, ""dataset"": ""nocom"", ""dropout"": 0.0, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 2, ""embedding_dim"": 64, ""final_activation"": ""relu"", ""final_head"": ""direct_cosine"", ""final_hidden_dim"": 64, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.0007650654659218705, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""mean"", ""processor"": ""conv1d"", ""remove_padding"": true, ""seed"": 7, ""sequence_reduction"": ""mean"", ""slice_width"": 16, ""stride"": 8, ""stride_mode"": ""half_overlap"", ""weight_decay"": 0.0}",,,,,,,,,,,False,True,tuple index out of range,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v2_fast10x5/conv1d/trials/trial_00001
nocom,nocom_conv1d,conv1d,2,PRUNED,0.9233470728039326,4.0,7,optuna_sampled,"{""batch_size"": 64, ""conv_activation"": ""relu"", ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dropout"": 0.1, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_head"": ""cosine_linear"", ""learning_rate"": 0.00016480903990449868, ""pooling"": ""max"", ""remove_padding"": true, ""slice_width"": 16, ""stride_mode"": ""half_overlap"", ""weight_decay"": 1e-06}","{""activation"": ""relu"", ""architecture"": ""conv1d"", ""background"": ""black"", ""batch_size"": 64, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""nocom"", ""dropout"": 0.1, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""cosine_linear"", ""final_hidden_dim"": 128, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.00016480903990449868, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""max"", ""processor"": ""conv1d"", ""remove_padding"": true, ""seed"": 7, ""sequence_reduction"": ""max"", ""slice_width"": 16, ""stride"": 8, ""stride_mode"": ""half_overlap"", ""weight_decay"": 1e-06}",,,,,,,,,,,True,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v2_fast10x5/conv1d/trials/trial_00002
nocom,nocom_conv1d,conv1d,3,COMPLETE,0.8904518689557259,5.0,7,optuna_sampled,"{""batch_size"": 64, ""conv_activation"": ""relu"", ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dropout"": 0.0, ""early_stopping_patience"": 3, ""embedding_dim"": 256, ""final_head"": ""cosine_linear"", ""learning_rate"": 0.0006329161268901726, ""pooling"": ""mean"", ""remove_padding"": false, ""slice_width"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""conv1d"", ""background"": ""black"", ""batch_size"": 64, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""nocom"", ""dropout"": 0.0, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 256, ""final_activation"": ""relu"", ""final_head"": ""cosine_linear"", ""final_hidden_dim"": 256, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.0006329161268901726, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""mean"", ""processor"": ""conv1d"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""mean"", ""slice_width"": 6, ""stride"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}",0.3518709926556037,0.8287271311794473,0.9154378986352102,0.8082349379352104,0.8585027013120659,0.6517381473580238,0.4866817891597748,344578.0,279.1862801136449,118751232.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v2_fast10x5/conv1d/trials/trial_00003
nocom,nocom_conv1d,conv1d,4,PRUNED,0.8621833111835414,4.0,7,optuna_sampled,"{""batch_size"": 32, ""conv_activation"": ""relu"", ""conv_kernel_size"": 3, ""conv_layers"": 3, ""dropout"": 0.0, ""early_stopping_patience"": 2, ""embedding_dim"": 128, ""final_head"": ""cosine_linear"", ""learning_rate"": 0.0019305077729286281, ""pooling"": ""mean"", ""remove_padding"": true, ""slice_width"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0001}","{""activation"": ""relu"", ""architecture"": ""conv1d"", ""background"": ""black"", ""batch_size"": 32, ""conv_kernel_size"": 3, ""conv_layers"": 3, ""dataset"": ""nocom"", ""dropout"": 0.0, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 2, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""cosine_linear"", ""final_hidden_dim"": 128, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.0019305077729286281, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""mean"", ""processor"": ""conv1d"", ""remove_padding"": true, ""seed"": 7, ""sequence_reduction"": ""mean"", ""slice_width"": 6, ""stride"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0001}",,,,,,,,,,,True,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v2_fast10x5/conv1d/trials/trial_00004
nocom,nocom_conv1d,conv1d,5,COMPLETE,0.951935386953154,5.0,7,optuna_sampled,"{""batch_size"": 64, ""conv_activation"": ""relu"", ""conv_kernel_size"": 5, ""conv_layers"": 2, ""dropout"": 0.1, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_head"": ""symmetric_linear"", ""learning_rate"": 0.001261925634765016, ""pooling"": ""mean"", ""remove_padding"": false, ""slice_width"": 32, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""conv1d"", ""background"": ""black"", ""batch_size"": 64, ""conv_kernel_size"": 5, ""conv_layers"": 2, ""dataset"": ""nocom"", ""dropout"": 0.1, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""symmetric_linear"", ""final_hidden_dim"": 128, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.001261925634765016, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""mean"", ""processor"": ""conv1d"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""mean"", ""slice_width"": 32, ""stride"": 32, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}",0.2899219975298877,0.8792720903075126,0.8937850453571323,0.9217378141083864,0.9075462417837926,0.7344730315448624,0.5252203941345215,737793.0,294.0863155606203,90506752.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v2_fast10x5/conv1d/trials/trial_00005
nocom,nocom_bilstm,bilstm,0,FAIL,,2.0,7,existing_config_adapted_to_search_interface,"{""batch_size"": 64, ""dropout"": 0.0, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_head"": ""cosine_linear"", ""learning_rate"": 0.001, ""lstm_hidden_ratio"": 0.5, ""lstm_layers"": 1, ""remove_padding"": false, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""bilstm"", ""background"": ""black"", ""batch_size"": 64, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""nocom"", ""dropout"": 0.0, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""cosine_linear"", ""final_hidden_dim"": 128, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.001, ""lstm_hidden_ratio"": 0.5, ""lstm_hidden_size"": 64, ""lstm_layers"": 1, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""final_hidden"", ""processor"": ""bilstm"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 6, ""stride"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}",,,,,,,,,,,False,True,tuple index out of range,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v2_fast10x5/bilstm/trials/trial_00000
nocom,nocom_bilstm,bilstm,1,COMPLETE,0.9934987992915366,5.0,7,optuna_sampled,"{""batch_size"": 64, ""dropout"": 0.1, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_ratio"": 2.0, ""learning_rate"": 0.00016480903990449868, ""lstm_hidden_ratio"": 0.5, ""lstm_layers"": 1, ""remove_padding"": true, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 16, ""stride_mode"": ""half_overlap"", ""weight_decay"": 1e-06}","{""activation"": ""relu"", ""architecture"": ""bilstm"", ""background"": ""black"", ""batch_size"": 64, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""nocom"", ""dropout"": 0.1, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_dim"": 256, ""final_hidden_ratio"": 2.0, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.00016480903990449868, ""lstm_hidden_ratio"": 0.5, ""lstm_hidden_size"": 64, ""lstm_layers"": 1, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""final_hidden"", ""processor"": ""bilstm"", ""remove_padding"": true, ""seed"": 7, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 16, ""stride"": 8, ""stride_mode"": ""half_overlap"", ""weight_decay"": 1e-06}",0.1039950453919536,0.95708446866485,0.9851732930399472,0.9475022706630336,0.9659706467892032,0.9092122017849426,0.302497386932373,411393.0,772.1042603929527,138743296.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v2_fast10x5/bilstm/trials/trial_00001
nocom,nocom_bilstm,bilstm,2,PRUNED,0.9673726254969266,2.0,7,optuna_sampled,"{""batch_size"": 128, ""dropout"": 0.0, ""early_stopping_patience"": 2, ""embedding_dim"": 256, ""final_head"": ""symmetric_linear"", ""learning_rate"": 0.0008906471274248947, ""lstm_hidden_ratio"": 0.5, ""lstm_layers"": 1, ""remove_padding"": false, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 32, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 1e-06}","{""activation"": ""relu"", ""architecture"": ""bilstm"", ""background"": ""black"", ""batch_size"": 128, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""nocom"", ""dropout"": 0.0, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 2, ""embedding_dim"": 256, ""final_activation"": ""relu"", ""final_head"": ""symmetric_linear"", ""final_hidden_dim"": 256, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.0008906471274248947, ""lstm_hidden_ratio"": 0.5, ""lstm_hidden_size"": 128, ""lstm_layers"": 1, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""final_hidden"", ""processor"": ""bilstm"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 32, ""stride"": 32, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 1e-06}",,,,,,,,,,,True,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v2_fast10x5/bilstm/trials/trial_00002
nocom,nocom_bilstm,bilstm,3,PRUNED,0.986267750975292,4.0,7,optuna_sampled,"{""batch_size"": 64, ""dropout"": 0.1, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_ratio"": 2.0, ""learning_rate"": 0.00018323999637339788, ""lstm_hidden_ratio"": 0.5, ""lstm_layers"": 1, ""remove_padding"": true, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 16, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""bilstm"", ""background"": ""black"", ""batch_size"": 64, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""nocom"", ""dropout"": 0.1, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_dim"": 256, ""final_hidden_ratio"": 2.0, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.00018323999637339788, ""lstm_hidden_ratio"": 0.5, ""lstm_hidden_size"": 64, ""lstm_layers"": 1, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""final_hidden"", ""processor"": ""bilstm"", ""remove_padding"": true, ""seed"": 7, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 16, ""stride"": 16, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}",,,,,,,,,,,True,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v2_fast10x5/bilstm/trials/trial_00003
nocom,nocom_bilstm,bilstm,4,COMPLETE,0.9944137779130688,5.0,7,optuna_sampled,"{""batch_size"": 64, ""dropout"": 0.1, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_ratio"": 1.0, ""learning_rate"": 0.0008460878931859466, ""lstm_hidden_ratio"": 0.5, ""lstm_layers"": 1, ""remove_padding"": false, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 16, ""stride_mode"": ""half_overlap"", ""weight_decay"": 1e-06}","{""activation"": ""relu"", ""architecture"": ""bilstm"", ""background"": ""black"", ""batch_size"": 64, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""nocom"", ""dropout"": 0.1, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_dim"": 128, ""final_hidden_ratio"": 1.0, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.0008460878931859466, ""lstm_hidden_ratio"": 0.5, ""lstm_hidden_size"": 64, ""lstm_layers"": 1, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""final_hidden"", ""processor"": ""bilstm"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""final_hidden"", ""slice_width"": 16, ""stride"": 8, ""stride_mode"": ""half_overlap"", ""weight_decay"": 1e-06}",0.0976156936806897,0.9593421564811212,0.9865396106550932,0.94971238268241,0.9677757724404956,0.9139714260926912,0.3935096859931946,378369.0,722.2236487178598,139976704.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v2_fast10x5/bilstm/trials/trial_00004
nocom,nocom_bilstm,bilstm,5,PRUNED,0.9413561991781892,4.0,7,optuna_sampled,"{""batch_size"": 64, ""dropout"": 0.2, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_head"": ""cosine_linear"", ""learning_rate"": 0.0013986116567585713, ""lstm_hidden_ratio"": 0.5, ""lstm_layers"": 1, ""remove_padding"": false, ""sequence_reduction"": ""attention"", ""slice_width"": 16, ""stride_mode"": ""half_overlap"", ""weight_decay"": 0.0001}","{""activation"": ""relu"", ""architecture"": ""bilstm"", ""background"": ""black"", ""batch_size"": 64, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""nocom"", ""dropout"": 0.2, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""cosine_linear"", ""final_hidden_dim"": 128, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.0013986116567585713, ""lstm_hidden_ratio"": 0.5, ""lstm_hidden_size"": 64, ""lstm_layers"": 1, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""pooling"": ""attention"", ""processor"": ""bilstm"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""attention"", ""slice_width"": 16, ""stride"": 8, ""stride_mode"": ""half_overlap"", ""weight_decay"": 0.0001}",,,,,,,,,,,True,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v2_fast10x5/bilstm/trials/trial_00005
nocom,nocom_cross_attention_1block,cross_attention_1block,0,COMPLETE,0.9932755722854544,5.0,7,existing_config_adapted_to_search_interface,"{""batch_size"": 64, ""cross_attention_activation"": ""relu"", ""cross_attention_ffn_ratio"": 1, ""cross_attention_heads"": 4, ""dropout"": 0.0, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_head"": ""cosine_linear"", ""learning_rate"": 0.001, ""pooling"": ""mean"", ""remove_padding"": false, ""slice_width"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""cross_attention_1block"", ""background"": ""black"", ""batch_size"": 64, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""cross_attention_activation"": ""relu"", ""cross_attention_blocks"": 1, ""cross_attention_ffn_dim"": 128, ""cross_attention_ffn_ratio"": 1, ""cross_attention_has_ffn"": true, ""cross_attention_heads"": 4, ""dataset"": ""nocom"", ""dropout"": 0.0, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""cosine_linear"", ""final_hidden_dim"": 128, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.001, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""symmetric_final_features_with_fixed_directional_input_roles"", ""pooling"": ""mean"", ""processor"": ""conv1d"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""mean"", ""slice_width"": 6, ""stride"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 0.0}",0.1088649049959569,0.9571428571428572,0.9839864355689524,0.9487738419618528,0.9660593729769722,0.9090934256722988,0.3388988673686981,322306.0,422.7201428641565,214369280.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v2_fast10x5/cross_attention_1block/trials/trial_00000
nocom,nocom_cross_attention_1block,cross_attention_1block,1,COMPLETE,0.9922147919363208,5.0,7,optuna_sampled,"{""batch_size"": 64, ""cross_attention_activation"": ""gelu"", ""cross_attention_ffn_ratio"": 2, ""cross_attention_heads"": 4, ""dropout"": 0.1, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_ratio"": 0.5, ""learning_rate"": 0.00016480903990449868, ""pooling"": ""mean"", ""remove_padding"": true, ""slice_width"": 16, ""stride_mode"": ""half_overlap"", ""weight_decay"": 1e-06}","{""activation"": ""relu"", ""architecture"": ""cross_attention_1block"", ""background"": ""black"", ""batch_size"": 64, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""cross_attention_activation"": ""gelu"", ""cross_attention_blocks"": 1, ""cross_attention_ffn_dim"": 256, ""cross_attention_ffn_ratio"": 2, ""cross_attention_has_ffn"": true, ""cross_attention_heads"": 4, ""dataset"": ""nocom"", ""dropout"": 0.1, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_dim"": 64, ""final_hidden_ratio"": 0.5, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.00016480903990449868, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""symmetric_final_features_with_fixed_directional_input_roles"", ""pooling"": ""mean"", ""processor"": ""conv1d"", ""remove_padding"": true, ""seed"": 7, ""sequence_reduction"": ""mean"", ""slice_width"": 16, ""stride"": 8, ""stride_mode"": ""half_overlap"", ""weight_decay"": 1e-06}",0.1082925368458577,0.9570260801868432,0.970766129032258,0.9621253405994552,0.966426420946994,0.9068142916721558,0.4229312539100647,527489.0,566.3711533369496,240644608.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v2_fast10x5/cross_attention_1block/trials/trial_00001
nocom,nocom_cross_attention_1block,cross_attention_1block,2,COMPLETE,0.9949626299598828,5.0,7,optuna_sampled,"{""batch_size"": 64, ""cross_attention_activation"": ""relu"", ""cross_attention_ffn_ratio"": 1, ""cross_attention_heads"": 4, ""dropout"": 0.1, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_head"": ""cosine_linear"", ""learning_rate"": 0.0006329161268901726, ""pooling"": ""mean"", ""remove_padding"": false, ""slice_width"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 1e-06}","{""activation"": ""relu"", ""architecture"": ""cross_attention_1block"", ""background"": ""black"", ""batch_size"": 64, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""cross_attention_activation"": ""relu"", ""cross_attention_blocks"": 1, ""cross_attention_ffn_dim"": 128, ""cross_attention_ffn_ratio"": 1, ""cross_attention_has_ffn"": true, ""cross_attention_heads"": 4, ""dataset"": ""nocom"", ""dropout"": 0.1, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""cosine_linear"", ""final_hidden_dim"": 128, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.0006329161268901726, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""symmetric_final_features_with_fixed_directional_input_roles"", ""pooling"": ""mean"", ""processor"": ""conv1d"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""mean"", ""slice_width"": 6, ""stride"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 1e-06}",0.0897343695398641,0.9651226158038148,0.9801414079311404,0.9653042688465032,0.972666259914582,0.9247071468253024,0.4258771538734436,322306.0,460.549477529712,250094592.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v2_fast10x5/cross_attention_1block/trials/trial_00002
nocom,nocom_cross_attention_1block,cross_attention_1block,3,PRUNED,0.9904433951135168,4.0,7,optuna_sampled,"{""batch_size"": 128, ""cross_attention_activation"": ""relu"", ""cross_attention_ffn_ratio"": 2, ""cross_attention_heads"": 2, ""dropout"": 0.1, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_head"": ""cosine_linear"", ""learning_rate"": 0.0002294669387681249, ""pooling"": ""mean"", ""remove_padding"": false, ""slice_width"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 1e-06}","{""activation"": ""relu"", ""architecture"": ""cross_attention_1block"", ""background"": ""black"", ""batch_size"": 128, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""cross_attention_activation"": ""relu"", ""cross_attention_blocks"": 1, ""cross_attention_ffn_dim"": 256, ""cross_attention_ffn_ratio"": 2, ""cross_attention_has_ffn"": true, ""cross_attention_heads"": 2, ""dataset"": ""nocom"", ""dropout"": 0.1, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""cosine_linear"", ""final_hidden_dim"": 128, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_height"": 32, ""learning_rate"": 0.0002294669387681249, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""symmetric_final_features_with_fixed_directional_input_roles"", ""pooling"": ""mean"", ""processor"": ""conv1d"", ""remove_padding"": false, ""seed"": 7, ""sequence_reduction"": ""mean"", ""slice_width"": 6, ""stride"": 6, ""stride_mode"": ""nonoverlap"", ""weight_decay"": 1e-06}",,,,,,,,,,,True,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v2_fast10x5/cross_attention_1block/trials/trial_00003
